project,training_mode,size,run_id,run_name,state,url,step,timestamp,runtime,train_loss,val_loss
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,21450,1762444939.2148116,5031.617783546448,0.8803725838661194,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,21500,1762444950.0329416,5042.435913562775,0.8753147721290588,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,21550,1762444961.4469266,5053.849898576736,0.8760070204734802,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,21600,1762444972.446857,5064.849828958511,0.8786845207214355,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,21650,1762444984.3702433,5076.773215293884,0.920427680015564,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,21700,1762444996.4282124,5088.831184387207,0.8895938396453857,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,21750,1762445008.2463875,5100.649359464645,1.1223543882369995,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,21760,1762445010.3523712,5102.755343198776,,1.1948519238864974
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,21800,1762445021.8324144,5114.235386371613,0.8924963474273682,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,21850,1762445033.8562737,5126.259245634079,0.8870459794998169,
